,Unnamed: 0,Generation,Intertwine_two,Add_vertex,Delete_vertex,Invert_path_vertices,Insert_inside_vertex,Delete_inside_vertex,Replace_inside_vertex,Donate_between_routes,Trim_one_terminal_cb,Grow_one_terminal_cb
0,0.0,0.0,0.09999999999999999,0.09999999999999999,0.09999999999999999,0.09999999999999999,0.09999999999999999,0.09999999999999999,0.09999999999999999,0.09999999999999999,0.09999999999999999,0.09999999999999999
1,1.0,1.0,0.13485011002766778,0.0976640439979485,0.08548787562704271,0.10656643683786333,0.09808048230367111,0.09087337473240856,0.07983348900067447,0.06294104072443876,0.11941106630056952,0.12429208044771474
2,2.0,2.0,0.12638138024418363,0.10418682246629243,0.08808032546698305,0.0942826628565003,0.09316991240235792,0.09153052885218586,0.08433566365087293,0.04678145161191739,0.13999997157372476,0.13125128087498122
3,3.0,3.0,0.11719683617540617,0.10770166331962572,0.09944093000518868,0.09401809700030331,0.1017559852781043,0.08677211026399463,0.07301064414360588,0.05440012938006781,0.13669264315488167,0.12901096127882133
4,4.0,4.0,0.1262166496264288,0.10703878690151636,0.10233779771708729,0.09256370093727573,0.09444795028665995,0.08485076711627934,0.07505787459943417,0.051865242971637616,0.14079478428560413,0.1248264455580762
5,5.0,5.0,0.12362126608675598,0.09628044596080534,0.10363976454443238,0.09109394969821712,0.0945216894640355,0.09746095284097364,0.07181811427478432,0.06300562450073455,0.12709278277369254,0.13146540985556826
6,6.0,6.0,0.12041507502811781,0.11666709792296096,0.09208747201249337,0.08600410719228403,0.09310605094549544,0.08588110644881372,0.07899288585747222,0.046066270917501706,0.13704502768519963,0.1437349059896606
7,7.0,7.0,0.12661296304270142,0.10826820800178702,0.09460679412139954,0.08940691071105371,0.09272664145707366,0.07676999465804554,0.05948555683329103,0.06894501374104633,0.1496453597510627,0.13353255768253858
8,8.0,8.0,0.12376698007987078,0.10612122067569352,0.09834983620719609,0.0889135650973137,0.09354198462697969,0.07142740809163191,0.061536913371564715,0.06520556104112588,0.16155044014749526,0.12958609066112806
9,9.0,9.0,0.12005545392256149,0.10603618346614443,0.10228173440901153,0.09406310063631676,0.09065167521546547,0.07674927084844516,0.060535696704360153,0.07138222450633187,0.14556863190198513,0.13267602838937756
10,10.0,10.0,0.12179112358575361,0.10392397128050798,0.11037216619768264,0.08999005105724708,0.07267414299682502,0.07372290093386749,0.0704526853490087,0.06821664812068462,0.16082795131423452,0.12802835916418795
11,11.0,11.0,0.12991287396756296,0.09940404710914598,0.11051480996544352,0.07207312849910395,0.06860002822870695,0.09403715016553964,0.06381026885485215,0.06286628545848491,0.1593390341957645,0.13944237355539502
12,12.0,12.0,0.11455263754395997,0.10019936112852643,0.11709949370106354,0.08165792337215508,0.09365925401219585,0.07166395417155721,0.06924565215369419,0.06175613041421292,0.14193483574161056,0.14823075776102385
13,13.0,13.0,0.12794396967963645,0.10802011193826995,0.09649427309916218,0.08508410378574267,0.08794779939796701,0.08077571916216959,0.06983056103518484,0.06050077033632408,0.1473840837658211,0.1360186077997217
14,14.0,14.0,0.10740641617491806,0.08780319265818796,0.10240236350825467,0.07589929477975846,0.07256918319256499,0.11080097743271271,0.05153222585917988,0.05923776834245179,0.18632330170730685,0.1460252763446642
15,15.0,15.0,0.15320143050690443,0.1042467317143491,0.11226856164167184,0.07535171022654207,0.06263715403166252,0.07254120177833154,0.05634356418304119,0.054797091830806596,0.16578504272931177,0.14282751135737853
16,16.0,16.0,0.14019373119339795,0.08068098600246028,0.09791328063444941,0.0660153884830025,0.08823144385481368,0.0932986761241666,0.0539773516831726,0.07736264748194388,0.15982155747127974,0.14250493707131293
17,17.0,17.0,0.13759023852757962,0.08449212038234097,0.12516736138418866,0.0656688052288559,0.09344857215267223,0.09702217289899144,0.06164644111285148,0.06634016980797305,0.163964030311061,0.10466008819348527
18,18.0,18.0,0.1416284663467947,0.09065957992017837,0.09860264241138528,0.08035897859228282,0.09288597420616064,0.07497859340637872,0.04106270233550487,0.0764935059752762,0.1611312549414043,0.14219830186463372
19,19.0,19.0,0.13861191782300095,0.10370227329396868,0.10981699282311537,0.05918687958271875,0.07107821926638792,0.0743523661785642,0.061474801673609095,0.07244528734222444,0.16885108313415492,0.14048017888225528
20,20.0,20.0,0.13263654278884632,0.09314923247865774,0.0920703088032967,0.0675548582182128,0.10857191523093053,0.07283118725970994,0.05095036737407641,0.06438475920026156,0.16893775352875093,0.14891307511725665
21,21.0,21.0,0.14975464843762626,0.10383699511708003,0.09232450747493393,0.06900404095529458,0.06139965883095681,0.08665928485946663,0.04740753149256144,0.06851363249133255,0.1779390728019918,0.14316062753875564
22,22.0,22.0,0.1155335890775451,0.11687208320261946,0.11341781001689633,0.050602322799882346,0.061736666870521616,0.10496139646386553,0.0455147686299882,0.08954630927229104,0.16998866990189448,0.13182638376449554
23,23.0,23.0,0.1402307104512434,0.11598632165023445,0.0751508748413857,0.06211815368078536,0.07006439575947712,0.1052964710571741,0.055864113606770814,0.05885837868904833,0.18388757821337454,0.13254300205050587
24,24.0,24.0,0.15183380464360124,0.10416157102252241,0.10877714886010281,0.04775790785141185,0.07058627777842177,0.0757958870749502,0.050069626336665105,0.07124172856397833,0.1796648389915389,0.14011120887680703
25,25.0,25.0,0.1546827992764002,0.0968946056167366,0.09847897300398879,0.06632984950894188,0.05427320870434168,0.08281383979715415,0.04357091851763799,0.07017801801738234,0.20508835985924426,0.1276894276981718
