,Unnamed: 0,Generation,Intertwine_two,Add_vertex,Delete_vertex,Invert_path_vertices,Insert_inside_vertex,Delete_inside_vertex,Replace_inside_vertex,Donate_between_routes,Merge_terminals,Trim_one_terminal_cb,Trim_one_path_random_cb,Grow_one_terminal_cb,Grow_one_path_random_cb
0,0.0,0.0,0.07692307692307689,0.07692307692307689,0.07692307692307689,0.07692307692307689,0.07692307692307689,0.07692307692307689,0.07692307692307689,0.07692307692307689,0.07692307692307689,0.07692307692307689,0.07692307692307689,0.07692307692307689,0.07692307692307689
1,1.0,0.10900000000000001,0.07700924869161738,0.07700030671334172,0.0771498239970654,0.07706992185882201,0.07691782047850822,0.07683809112236721,0.07684358578335046,0.07680737317236296,0.07657992331514663,0.07701988144156674,0.07684909136973757,0.07711793108444409,0.07679700097166917
2,2.0,0.31601,0.07709693767954995,0.07701460201136066,0.07713654815670304,0.07711182620498068,0.07687385353035661,0.07688083990364564,0.07686703056799803,0.07663219577548146,0.0763869822577379,0.07709592217335819,0.07675639553500675,0.07745015983718931,0.07669670636663137
3,3.0,0.6191589000000001,0.07725386811883977,0.07704805452363209,0.07718494458440141,0.0771642682488705,0.07688078026720331,0.07691013028656477,0.0767920012883072,0.07635934365505401,0.07614024571850117,0.07723722955668277,0.07669924014507327,0.0776496316694413,0.076680261937428
4,4.0,1.015801321,0.07733271596896754,0.07714988669623217,0.07724996789249503,0.07732284830755841,0.07682878643067957,0.07688761379726189,0.07666299370458582,0.07634214721805122,0.07588015409398279,0.07747150017587413,0.07647049434031367,0.07784663122762484,0.07655426014637252
5,5.0,1.50262148669,0.07741532717551211,0.07717401348179376,0.07726738281882499,0.07755327723205072,0.07665285754615432,0.07700192440766941,0.07655606505785625,0.07618989063056379,0.07548292557058855,0.07760960567183126,0.07642493848539941,0.07808058183128568,0.07659121009046935
6,6.0,2.0757334209441005,0.07745327286901912,0.07726165718907228,0.07726657262393041,0.0778414607219439,0.07649211207610282,0.07707272830718019,0.0763084682808941,0.07602730807127311,0.07530070303063904,0.07779400195604344,0.07634102707171321,0.07822055057426132,0.07662013722792664
7,7.0,2.7307768275633495,0.07767495930112214,0.0773716322570766,0.07732722150145042,0.07780161913246025,0.0764893864470971,0.0772360148113846,0.0761849073542322,0.07589716783461867,0.07502498154185705,0.0779936556698633,0.07616669554594377,0.07836264471616626,0.07646911388672721
8,8.0,3.4630081252450404,0.07777096341411464,0.07740417099151191,0.07746558475885615,0.07794980712509235,0.07630830071208065,0.0772279595691504,0.0761720193339147,0.07571070445983892,0.07469761468560458,0.07813760333877284,0.07603145212157619,0.07877914587940166,0.07634467361008455
9,9.0,4.2673862119061114,0.07801686033170412,0.07736674601916936,0.07758842216360574,0.077994724896744,0.07612180815136976,0.077263671822221,0.07604568790166179,0.07555398866952685,0.07451636806871625,0.07839051695347041,0.07590794181337285,0.0789652965354449,0.07626796667299257
10,10.0,5.138652627782014,0.0782174461442084,0.07755242759255723,0.07755347925176208,0.07807460653051915,0.07598342634363417,0.07739024044090279,0.07583129514074824,0.07534198813198895,0.0744015714035984,0.07862416663552312,0.07566168996538411,0.07915934421304642,0.07620831820612656
11,11.0,6.071405875792507,0.07836514721668084,0.07762769264509368,0.07762133448607937,0.07807117700710994,0.07600152309674967,0.0773772621604919,0.0757358194306542,0.07522589265928811,0.07424019832808848,0.07904397077338875,0.07550425039588968,0.07920408366938823,0.07598164813109679
12,12.0,7.060169740244025,0.07843772503931189,0.07754215504954717,0.07792298223652493,0.07822622899021064,0.07588491183733781,0.0775256961624747,0.07567652673946368,0.07505362623111612,0.07394513175737329,0.07928820886813356,0.07529396949679186,0.07929084930490327,0.07591198828681074
13,13.0,8.099455520847952,0.07849733170832958,0.07768835968747358,0.07803207406006675,0.07816579043206222,0.07568540179340813,0.0777294722361709,0.07561850471473604,0.07487860680389413,0.07362558462506949,0.07964184603910339,0.07509623883783738,0.07941253981688866,0.07592824924495944
14,14.0,9.183818168183006,0.07851996018896451,0.07762865954108475,0.07824581487784199,0.07822044020310269,0.07554916704964693,0.07774786358093248,0.07572475839761467,0.07472766499480703,0.0733867694323827,0.08004797126300227,0.07494743198062634,0.07949967531720697,0.07575382317278638
15,15.0,10.307906369102724,0.07845614050115716,0.07765570541060372,0.07829124508134838,0.07818488781785309,0.07542963121481476,0.0779296847906692,0.07564434307708458,0.07459573237789657,0.07332698141380822,0.08034154613268725,0.07490941245212585,0.07957031083760126,0.07566437889234967
16,16.0,11.466506686239443,0.0782942697019406,0.07767277893520219,0.07838172958475703,0.07816082976826544,0.07543244461488126,0.07800042167366915,0.0756311177312078,0.07440372495068139,0.07310538414685576,0.08072260648625425,0.07494589386854458,0.07969311026473318,0.07555568827300709
17,17.0,12.654581904800096,0.07814282366563063,0.07766649662782456,0.07849220616154158,0.07823562990616381,0.07537790697782525,0.07812587485351219,0.07548723640238642,0.07426844899532908,0.07291577713916422,0.08092776035271763,0.0750781063604892,0.07979847152806653,0.07548326102934869
18,18.0,13.867303782456686,0.07820376532779835,0.07755827381974803,0.07855681358078814,0.07828172324048246,0.07528700794734598,0.07810916293179779,0.07533903722020927,0.07411496162003456,0.07283504374529762,0.08113611404419319,0.07506004932595221,0.08010441889796671,0.07541362829838551
19,19.0,15.100080434523047,0.07825869970364013,0.07768279860978872,0.07870262703577297,0.07817634626701256,0.07531195946932664,0.07807938111779118,0.07529822754534769,0.07393850956975426,0.07263647139541778,0.08147623749144382,0.07494543606483162,0.08019855353921082,0.07529475219066165
