,test,count,mean,std,min,lq,med,uq,max,outliers,parameter,value,HV_overall
0,HV,10.0,0.7100754496188454,0.0583044369534979,0.6288953579562331,0.6494860276531942,0.7314886548845253,0.7564406602788186,0.7789284001434611,,Mutations,0,0.7877299266542335
0,HV,10.0,0.718737405163181,0.0433366630122285,0.6538914017473882,0.6860785880504361,0.7164512969623262,0.7555034130563483,0.7844869319512584,,Mutations,0,0.7880185222661911
0,HV,10.0,0.7142976212407183,0.0617054205240237,0.5909689230124296,0.6787052412563469,0.7192134851213854,0.7659913700428902,0.7820442204748634,,Mutations,0,0.7915890654753426
0,HV,9.0,0.6813826453023785,0.0456796224084329,0.6025156310100817,0.6751481453751863,0.6830529633664302,0.7102518001790952,0.7399450639814357,0.5153872308584979,Mutations,1,0.7531259989516171
0,HV,9.0,0.7290897477164704,0.0376001746436849,0.6620722837176717,0.7097760067960085,0.7422511128861677,0.7492460307645521,0.7707155735508822,0.5602441080866511,Mutations,1,0.7763557348468317
0,HV,7.0,0.7651973965092579,0.0108778211926232,0.7556732786171323,0.7580551201678257,0.7606261342942682,0.768502975040622,0.7869661722365091,"0.7965799983299955, 0.6909828776215303, 0.6410479146895776",Mutations,1,0.8022059831686132
0,HV,10.0,0.6912178890169143,0.0244495041124713,0.6604332238042725,0.6758997082934363,0.6792209552640656,0.7110806222514934,0.7322804208143145,,Mutations,2,0.7478597636107089
0,HV,10.0,0.6855299602939386,0.0465544824911246,0.5906309115953989,0.660798345633574,0.6901968000428387,0.7175834323984679,0.7512558818210309,,Mutations,2,0.7564703153461426
0,HV,10.0,0.7124685790309093,0.0381115449440688,0.6692126721009228,0.683099092060985,0.7001261925535427,0.7355133276416317,0.7837718039244208,,Mutations,2,0.7861263091533177
0,HV,8.0,0.6383619224503668,0.0433113112703894,0.5835303543613779,0.6081961780758388,0.6309358679813566,0.6599665023385545,0.7175097757397659,"0.4723332182565437, 0.4845050610638017",Mutations,3,0.7555481780442419
0,HV,9.0,0.5921775324895577,0.0547797502668274,0.5071101165067715,0.5685954908296165,0.5739686296041834,0.6323421357431758,0.6910678170649842,0.4383994245104585,Mutations,3,0.7441489331242418
0,HV,9.0,0.585854726192668,0.0437973085210147,0.4972597352181964,0.5674848510656166,0.5981119461607138,0.617285527283393,0.6435021856264358,0.4612507111834942,Mutations,3,0.7303151145473997
0,HV,9.0,0.751445778661028,0.0288717824501188,0.6939217244915858,0.7349054285866176,0.7619426994752685,0.7638300796472717,0.7931622588012219,0.6162025423990045,Mutations,4,0.7961136576106694
0,HV,9.0,0.7237857341544712,0.026696666028908,0.6707606955519765,0.7175061256510206,0.7260938148347648,0.733582454174684,0.7651101287109624,0.639820134490591,Mutations,4,0.7757502846256964
0,HV,10.0,0.746618275272453,0.0197366642370998,0.7206772303585527,0.7315693534477488,0.746409476489347,0.7546825955422659,0.7837552719160772,,Mutations,4,0.792998705381041
0,HV,10.0,0.6996961415343386,0.0501807227033046,0.6203812442052937,0.6575617582578004,0.7093375062528712,0.7438247548582122,0.7644950811424374,,Mutations,5,0.776311027605474
0,HV,9.0,0.7350095125227342,0.043680641699137,0.6478936688230924,0.7340216349847084,0.7543357368482377,0.759703377644903,0.7721313815481323,0.5090504407337475,Mutations,5,0.7870545764721308
0,HV,10.0,0.7553245550272758,0.0456373626400986,0.6892959731165025,0.7103114929638676,0.7724364647480216,0.7965963012559268,0.8019519009479429,,Mutations,5,0.8183201401154845
0,HV,10.0,0.7240660252927696,0.0804911808943115,0.5446558304415899,0.6763526803723591,0.7535951419643891,0.7816981962500116,0.7927721917374662,,Mutations,6,0.7980166458464386
0,HV,9.0,0.7517587572719346,0.0234078690010557,0.7156867036333847,0.7418304185826331,0.7539082449524501,0.7635865872529195,0.7833727334776474,0.5978081638443308,Mutations,6,0.7954858042718245
0,HV,10.0,0.766279492260167,0.0244363160629932,0.7224230769433835,0.7548535950927211,0.7665795153405057,0.7854921893634365,0.7976164991565299,,Mutations,6,0.8019176566174393
0,HV,9.0,0.750037877497187,0.0197462352786809,0.715708614319094,0.7399500162228423,0.7562631969237803,0.756976210538987,0.7775903481744013,0.7990036978698791,Mutations,7,0.8045872599454915
0,HV,9.0,0.7709370269338892,0.0184493088871113,0.7376623370623736,0.7572843562090233,0.7692815912591837,0.7869071133944795,0.7905358524205053,0.6774178558442578,Mutations,7,0.8040277328158596
0,HV,9.0,0.7616976045616571,0.0175943746841414,0.742146422858202,0.7482393728402288,0.7586358409107957,0.7758852084555021,0.7934417494977903,0.6690679275525105,Mutations,7,0.7987732193872082
0,HV,10.0,0.8061651519356803,0.0107740078941935,0.7885913805961648,0.7990378330530837,0.8067692185244267,0.8138002990605534,0.8230257873134813,,Mutations,8,0.8281666758654994
0,HV,10.0,0.7928211308480565,0.0117371820640262,0.7694271328367099,0.787827345695265,0.7952592259013627,0.8001490636085684,0.8076585126425468,,Mutations,8,0.816504647400615
0,HV,10.0,0.7973585510908252,0.0171847815715031,0.7686583424133733,0.7837815941833159,0.7976252106339807,0.8128411094235077,0.8193365705305375,,Mutations,8,0.828155832208253
