,f_1,f_2,HV
0,25.562489811387362,1175.9,0.381130260026816
1,25.56647907505568,1177.2,0.381130260026816
2,25.61345208366863,1176.5,0.381556043448977
3,25.592647585623283,1178.0,0.38237878036046835
4,25.62909971601676,1177.4,0.3825369097444927
5,25.583164518188944,1175.4,0.38259274180134134
6,25.570202007091797,1175.5,0.3831947533836261
7,25.563246753920996,1174.3,0.3837263070891124
8,25.570047815094206,1176.1,0.3841065950741083
9,25.544068799742497,1173.5,0.38429232405952707
10,25.546944973704292,1173.4,0.3849147686314017
11,25.538700633900433,1172.5,0.3852616519703927
12,25.518803636231485,1173.0,0.3857410449416357
13,25.52922223895087,1172.8,0.3862429231650049
14,25.562984575608592,1171.0,0.38649270742428177
15,25.534816760722055,1169.7,0.3865814344033635
16,25.54439846950165,1169.2,0.3872969059214024
17,25.5663788762155,1169.0,0.3880987858695368
18,25.511177621912914,1167.4,0.38845202903765746
19,25.51087235290758,1167.6,0.38912784723984944
20,25.498758676544647,1167.5,0.38989324084425914
21,25.489528442453157,1166.2,0.39034686684977304
22,25.476336460437032,1167.7,0.3910056342797599
23,25.490922919576153,1167.6,0.39133278175018804
24,25.4990198165271,1166.1,0.39185150737030827
25,25.481008945212515,1165.7,0.3918517153601123
26,25.493182325547586,1168.5,0.3920804005645623
27,25.491634175591976,1167.9,0.3922300550471164
28,25.489353483856565,1168.0,0.39223036347998724
29,25.51916289839422,1166.8,0.3927646211035222
30,25.54609977312491,1166.7,0.39295848481364554
31,25.50454996184137,1166.0,0.39325339502815115
32,25.491233380231236,1167.2,0.39357234877900504
33,25.47120243799872,1170.2,0.393641068887532
34,25.48581018290182,1169.0,0.3939195075319542
35,25.480756631034644,1170.3,0.39393397728365687
36,25.476341132921807,1173.2,0.3940788760814663
37,25.480462264493788,1173.4,0.394098437373786
38,25.465557038059984,1170.0,0.3943515107336736
39,25.47623210827705,1170.6,0.3947249859141778
40,25.491119683101697,1173.3,0.3950275896162849
41,25.496726145667306,1173.2,0.3950715684501662
42,25.488979165909555,1174.5,0.3950756124422522
43,25.47094545133607,1174.0,0.3951103324107589
44,25.556781592486647,1175.5,0.3951104356467218
45,25.481493845299223,1177.0,0.3951286978983144
46,25.471790132750485,1174.8,0.39524856904843847
47,25.49004449243836,1175.4,0.3953796492440981
48,25.49707502453055,1175.3,0.39554007828458354
49,25.46726249500304,1175.6,0.39578315961351934
50,25.45621051101409,1173.7,0.39579153137009937
51,25.461400084104724,1170.0,0.3958424030613739
52,25.479831479049096,1172.4,0.3962886524313222
53,25.473997622224413,1170.8,0.3963221714747552
54,25.466749040842707,1171.5,0.39663945139037154
55,25.469177175431035,1170.3,0.3967408908430888
56,25.45529574232804,1171.1,0.3970434586524337
57,25.455603607158245,1171.4,0.3971988882065616
58,25.43626938432226,1169.9,0.3978278194111192
59,25.461888099181284,1171.5,0.3981159335076754
60,25.465283957283106,1171.2,0.39846844905553425
61,25.431205968320555,1170.2,0.39847551441473694
62,25.44108879278568,1169.6,0.3990453259594751
63,25.463771110545803,1169.0,0.3990823236156843
64,25.46618003603005,1170.5,0.3993331653504163
65,25.42928453874788,1170.5,0.3993591356511227
66,25.442937020096874,1171.0,0.3994349987532678
67,25.43535773062606,1169.8,0.3996262071680439
68,25.442790096408935,1171.3,0.3996583618513868
69,25.43359049305098,1171.1,0.39965862432290267
70,25.43392379696496,1170.1,0.3996804426901376
71,25.417618901758413,1173.1,0.3996901029938461
72,25.449127024094444,1174.6,0.3997535459454782
73,25.44203107721541,1173.4,0.3997547937021571
74,25.406515001271952,1173.3,0.39981267726260306
75,25.418045655367905,1172.3,0.39982308625472407
76,25.42105629305825,1174.3,0.39982524461695373
77,25.40539827741061,1173.5,0.3998776437390439
78,25.406973423944926,1172.5,0.3999027897306407
79,25.413152006313048,1172.3,0.3999029202580554
80,25.404734784572494,1173.0,0.39997159695526296
81,25.405599713420933,1172.1,0.39997173850247425
82,25.441633916009494,1172.1,0.40013987126106076
83,25.412537314982586,1172.1,0.40014017259026124
84,25.41088014038221,1171.2,0.40033917637263017
85,25.438315932653914,1171.6,0.4006398096764374
86,25.434643359620388,1172.3,0.400640172692212
87,25.461603077609972,1171.8,0.4006895559115473
88,25.44350654407451,1169.3,0.40077957395743546
89,25.464976611617878,1170.3,0.4007805413417538
90,25.45242268335609,1169.6,0.4008251277013657
91,25.47113909987177,1169.0,0.4008254192453107
92,25.468364163080103,1167.8,0.4008263442605859
93,25.471591811730015,1166.3,0.4011277926144451
94,25.496065248654062,1164.5,0.4014332950391021
95,25.509803392223947,1164.3,0.40168848698268855
96,25.491028310066092,1165.0,0.4019360367429602
97,25.44983931844022,1165.0,0.40205048094183954
98,25.454734524990005,1165.2,0.40246534523322053
99,25.46083627094182,1165.2,0.4025955254585968
100,25.44901851861466,1166.7,0.4028509093429541
101,25.428968886443048,1164.5,0.4028527670539689
102,25.414679908834625,1164.1,0.40331252622890545
103,25.426369427412943,1164.8,0.40370212950387196
104,25.430964037442177,1164.9,0.4037229425803076
105,25.42690157151238,1167.0,0.4037925281020887
106,25.413714261981028,1163.8,0.40394498486120545
107,25.428716053100192,1163.8,0.4039454026217908
108,25.43319800432984,1165.5,0.40446172996383706
109,25.42178104736342,1164.5,0.40448185029073513
110,25.390716291916082,1166.2,0.40457294695106355
111,25.38923978672703,1166.2,0.4053452315509358
112,25.384054366956185,1164.5,0.405496662932664
113,25.405342207593307,1165.2,0.40574825780825163
114,25.3872861689259,1163.5,0.4060693785732414
115,25.408561030438644,1163.0,0.4062692733906501
