,Unnamed: 0,Generation,HV,APD,mean_f_1,mean_f_2
0,0.0,0.0,0.6245035260761439,0.0,11.573849129593807,152.75
1,1.0,1.0,0.6346042024580414,0.0,11.664832527401671,147.62725
2,2.0,2.0,0.6490055704394281,0.0,11.780833655705996,142.31425000000004
3,3.0,3.0,0.6629797646078867,0.0,11.955401031592523,136.97275
4,4.0,4.0,0.6792873361606018,0.0,12.0086919729207,133.48700000000002
5,5.0,5.0,0.6938490895475169,0.0,12.083043681495807,130.3635
6,6.0,6.0,0.7043046962288403,0.0,11.98459800128949,129.10325000000003
7,7.0,7.0,0.7137208212693873,0.0,11.946083655706,126.51850000000002
8,8.0,8.0,0.7246203010680347,0.0,11.940533526756932,124.12275
9,9.0,9.0,0.7331743095017842,0.0,11.947953417150227,122.20275
10,10.0,10.0,0.7404912879288458,0.0,11.907182462927143,120.888
11,11.0,11.0,0.7470111048371917,0.0,11.968106866537719,117.89825
12,12.0,12.0,0.7529656683125694,0.0,11.995854287556416,115.77849999999998
13,13.0,13.0,0.7570139080777377,0.0,12.030262250161186,113.94024999999999
14,14.0,14.0,0.7609852189130635,0.0,12.033633139909739,112.64625000000001
15,15.0,15.0,0.7653784174505728,0.0,11.950692778852353,113.05499999999999
16,16.0,16.0,0.7700295942109078,0.0,11.995694229529331,111.7775
17,17.0,17.0,0.7723799912699081,0.0,12.026807221147646,110.8925
18,18.0,18.0,0.7745027251502736,0.0,12.090131044487427,109.80625000000002
19,19.0,19.0,0.7766993844884686,0.0,12.176137008381689,107.47075
20,20.0,20.0,0.7792083648697895,0.0,12.215813023855574,105.3685
21,21.0,21.0,0.7808951948452412,0.0,12.297475499677626,102.3565
22,22.0,22.0,0.7825218352415391,0.0,12.297817698259184,101.71574999999999
23,23.0,23.0,0.783693830067558,0.0,12.18228239845261,101.83449999999998
24,24.0,24.0,0.7849541269707784,0.0,12.193752901353964,100.824
25,25.0,25.0,0.786453139829643,0.0,12.252301257253382,98.96175000000002
26,26.0,26.0,0.787533909199034,0.0,12.300583494519664,97.1495
27,27.0,27.0,0.7888732574856534,0.0,12.33299951644101,95.44225000000002
28,28.0,28.0,0.7900593886532833,0.0,12.359073662153454,95.54525
29,29.0,29.0,0.7912312633404215,0.0,12.413698420373958,93.90599999999998
30,30.0,30.0,0.7920991866597785,0.0,12.465641682785302,92.53500000000001
31,31.0,31.0,0.793022534049361,0.0,12.445007575757577,92.30474999999998
32,32.0,32.0,0.7934694506849918,0.0,12.452123952288847,92.08500000000002
33,33.0,33.0,0.7940317006459467,0.0,12.474829303675051,91.69525000000002
34,34.0,34.0,0.7946557019915022,0.0,12.448018214055447,91.86925000000001
35,35.0,35.0,0.7952667283379588,0.0,12.403494358478401,92.06224999999999
36,36.0,36.0,0.7955760859553644,0.0,12.428734526112185,91.20700000000002
37,37.0,37.0,0.7960129509713227,0.0,12.465421502256607,89.95675000000003
38,38.0,38.0,0.7963585104380664,0.0,12.499112991618308,88.841
39,39.0,39.0,0.796577083108073,0.0,12.54979964539007,87.72749999999999
40,40.0,40.0,0.7968962520673898,0.0,12.613529819471307,86.78075000000001
41,41.0,41.0,0.7971768163997581,0.0,12.641430689877497,85.9915
42,42.0,42.0,0.7975682288725767,0.0,12.639420857511281,85.62225000000001
43,43.0,43.0,0.7976878871976005,0.0,12.672725822050287,84.54175000000001
44,44.0,44.0,0.7979847904177229,0.0,12.691100902643452,83.63825
45,45.0,45.0,0.7980917540677022,0.0,12.696814796905219,83.02825000000001
46,46.0,46.0,0.7983493318275927,0.0,12.698658768536424,82.90950000000001
47,47.0,47.0,0.7986852000913055,0.0,12.696943423597677,82.91825
48,48.0,48.0,0.798921713500807,0.0,12.680091553836238,83.012
49,49.0,49.0,0.7992837319941853,0.0,12.667785460992908,82.83775
50,50.0,50.0,0.799438911381557,0.0,12.686538201160543,82.203
51,51.0,51.0,0.7996334562754543,0.0,12.700541586073506,81.81125
52,52.0,52.0,0.7999132997745393,0.0,12.718953417150226,81.047
53,53.0,53.0,0.799972808566703,0.0,12.73447582205029,80.60575
54,54.0,54.0,0.8001400819347166,0.0,12.73546308833011,80.55375000000001
55,55.0,55.0,0.8002552550748666,0.0,12.75296615087041,80.16900000000001
56,56.0,56.0,0.8003975395557263,0.0,12.779586557059966,79.513
57,57.0,57.0,0.8004438731173236,0.0,12.788721953578339,79.39875000000002
58,58.0,58.0,0.80075631429933,0.0,12.827044809800132,78.84649999999998
59,59.0,59.0,0.8010716788607629,0.0,12.767789651837528,79.26825000000001
60,60.0,60.0,0.8011626239933362,0.0,12.755101386202453,79.44575
61,61.0,61.0,0.8011870522323805,0.0,12.728682140554483,79.86825000000002
62,62.0,62.0,0.8012900512993019,0.0,12.703859123146358,80.07725000000002
63,63.0,63.0,0.8015017360068238,0.0,12.68536331399098,80.62849999999999
64,64.0,64.0,0.8017848633019771,0.0,12.672832688588011,80.75774999999999
65,65.0,65.0,0.8018721642218404,0.0,12.668543036750483,80.87575000000001
66,66.0,66.0,0.8019555806512326,0.0,12.657391682785306,80.99575000000002
67,67.0,67.0,0.8020967838821678,0.0,12.669587846550614,80.93475000000001
68,68.0,68.0,0.802194176467997,0.0,12.678346067053516,80.52375
69,69.0,69.0,0.8024576009867406,0.0,12.649051418439718,80.89999999999999
70,70.0,70.0,0.8026035296803105,0.0,12.602019019987107,81.41399999999999
