,Run_nr,HV
0,Run_1,0.8111457790008232
1,Run_2,0.8155716232902102
2,Run_3,0.8110411955818474
3,Run_4,0.8082001320002055
4,Run_5,0.8117633115741341
5,Run_6,0.81963862679661
6,Run_7,0.8101577344984539
7,Run_8,0.8144268813410266
8,Run_9,0.8164252592395576
9,Run_10,0.8099069546181574
10,Run_11,0.8145692525702616
11,Run_12,0.8131259013790088
12,Run_13,0.8132445724144914
13,Run_14,0.8129482933403414
14,Run_15,0.8137757313996048
15,Run_16,0.8122998289301379
16,Run_17,0.8060269635863084
17,Run_18,0.8121714564765855
18,Run_19,0.8149236056224399
19,Run_20,0.8183011967133238
20,Means,0.8129832150186764
