,Mean_HV,Mean_f_1,Mean_f_2
21,0.8270664087685364,11.960255641521613,101.10283333333334
22,0.8286922882852578,12.009638835160123,98.93300000000002
23,0.8301068835573924,11.996041693531069,98.83166666666668
24,0.8312108797770223,11.965034064044719,99.3905
25,0.8323852773806522,11.951527616591456,98.90766666666667
26,0.8333830708298793,11.90649656135828,98.87833333333334
27,0.8343770198349294,11.94424027509135,97.12916666666666
28,0.8355773674367569,11.969511927788528,95.17716666666666
29,0.8365110067237728,12.033757683215123,92.125
30,0.8369684154883045,12.057981409843098,90.60999999999999
31,0.8377405080272794,12.066390285837084,89.13266666666667
32,0.838411363536248,12.084327423167846,87.94033333333334
33,0.8388795848000289,12.092065549108115,87.31233333333333
34,0.8394567319821714,12.086408661078895,86.53583333333333
35,0.839934484263809,12.081421018697629,86.27016666666665
36,0.8403270180328459,12.137633032452197,83.74133333333333
37,0.8410602656671111,12.182393187191085,81.70116666666665
38,0.8414725022125576,12.200565549108136,80.99683333333334
39,0.8420029554164614,12.217289920481448,80.34983333333335
40,0.8425820248206929,12.221747689662633,79.59916666666668
41,0.8431165627465352,12.27015054803358,78.16799999999999
42,0.8433031784743162,12.290148398882499,77.61366666666666
43,0.8434922770722956,12.306087255534127,77.3495
44,0.8437710793677493,12.315773372018118,77.32716666666666
45,0.8440562890701651,12.334035031162758,76.97116666666666
46,0.8442787862769361,12.311963142058955,77.44066666666667
47,0.8445100936682804,12.305715667311484,77.73883333333333
48,0.8446366399557889,12.304875241779573,77.81616666666669
49,0.8447123274505328,12.309054803352753,77.9895
50,0.8448805218832971,12.314005910165562,77.62883333333333
51,0.8451897593618222,12.32245701697837,77.44416666666666
52,0.8453947162920334,12.333430152589807,77.22749999999999
53,0.8455218232276513,12.339484203739605,77.22033333333333
54,0.8457605792295894,12.33827122286705,77.13783333333333
55,0.8459294944956369,12.352647324306984,76.78549999999998
56,0.8460860755032817,12.361885880077457,76.71783333333335
57,0.8462886296558821,12.364004728132475,76.86116666666666
58,0.8463813768716635,12.36447732645614,76.84233333333333
