,Run_nr,HV
0,Run_1,0.7956839132520871
1,Run_2,0.7970700957773165
2,Run_3,0.8046287184749256
3,Run_4,0.7885434203889983
4,Run_5,0.8061164418977386
5,Run_6,0.7922439553718343
6,Run_7,0.7952782906335798
7,Run_8,0.7951444013207857
8,Run_9,0.8006071569873435
9,Run_10,0.791939873246142
10,Run_11,0.7927912666678086
11,Run_12,0.8027068297440642
12,Run_13,0.7934982046234402
13,Run_14,0.8061902730162009
14,Run_15,0.8012544433376458
15,Run_16,0.8022680680981347
16,Run_17,0.7930901129228956
17,Run_18,0.7949670013181357
18,Run_19,0.7985890792965972
19,Run_20,0.8042624205414934
20,Means,0.7978436983458584
