,Run_nr,HV,Epochs,Poor_epochs,Total_iterations
0,Run_1,0.7862296815118277,267,79,16619
1,Run_2,0.8001601851740612,271,41,15849
2,Run_3,0.8116358510438066,242,80,14591
3,Run_4,0.8135588740584113,247,77,14509
4,Run_5,0.801227018433309,240,79,13032
5,Run_6,0.8074365967057919,340,79,22469
6,Run_7,0.7959024632475141,274,89,13392
7,Run_8,0.7987281297179541,257,78,15278
8,Run_9,0.8069944856253829,246,91,12898
9,Run_10,0.8168739062356083,243,80,12345
