,Run_nr,HV,Epochs,Poor_epochs,Total_iterations
0,Run_1,0.7883521350681388,194,75,17421
1,Run_2,0.8214039429580595,189,79,16754
2,Run_3,0.7780233950446717,174,79,16265
3,Run_4,0.8214351790670014,202,79,18385
4,Run_5,0.8007961203150841,208,76,18601
5,Run_6,0.7944327642755026,173,79,15483
6,Run_7,0.8182074478096679,242,78,22215
7,Run_8,0.7933611254610329,163,68,14520
8,Run_9,0.8209257902134868,209,72,18988
9,Run_10,0.809247490098554,184,77,16046
