,Run_nr,HV,Epochs,Poor_epochs,Total_iterations
0,Run_1,0.625937537306648,1051,1,52551
1,Run_2,0.6170517160115829,1158,0,57901
2,Run_3,0.6079332885826081,1236,0,61801
3,Run_4,0.6071778465536268,1011,5,50551
4,Run_5,0.6145409480604234,1356,1,67801
5,Run_6,0.6142264388124928,1763,0,88151
6,Run_7,0.6213146514492185,1593,0,79651
7,Run_8,0.612267707273714,956,0,47801
8,Run_9,0.610172431395141,1104,0,55201
9,Run_10,0.62691622609252,1485,0,74251
10,Run_11,0.6090088944678567,1138,1,56901
11,Run_12,0.6042516654231083,1074,0,53701
12,Run_13,0.6119153745730158,1048,0,52401
13,Run_14,0.6110460520911215,1092,3,54601
14,Run_15,0.619730953482494,1139,0,56951
15,Run_16,0.6214054666516309,1438,0,71901
16,Run_17,0.6088328860349269,791,3,39551
17,Run_18,0.6204677232237664,1563,0,78151
18,Run_19,0.6190975003071703,929,1,46451
19,Run_20,0.6179784613952647,956,0,47506
20,Run_21,0.6313106039507542,1913,3,95651
21,Run_22,0.6083363253738248,1129,4,56451
22,Run_23,0.6224511518001887,1369,1,68451
23,Run_24,0.6097793523506259,785,2,39251
24,Run_25,0.6146348288008027,1365,4,68251
25,Run_26,0.6192835259099203,1428,2,71401
26,Run_27,0.6147732861703962,1497,3,74851
27,Run_28,0.6145298378928646,1129,0,56451
28,Run_29,0.5988749152790113,903,0,45151
29,Run_30,0.6080621764726346,1287,4,64351
