,Run_nr,HV
0,Run_1,0.8159771385042474
1,Run_2,0.8182753998761065
2,Run_3,0.8040995365087866
3,Run_4,0.8076487299985797
4,Run_5,0.8151461417353729
5,Run_6,0.8104116390374744
6,Run_7,0.813537356236762
7,Run_8,0.8109300024055053
8,Run_9,0.8104527418796541
9,Run_10,0.8150940251692247
10,Run_11,0.8102672295458877
11,Run_12,0.8069759485854693
12,Run_13,0.8088775229829692
13,Run_14,0.8140887785448616
14,Run_15,0.8047350834630613
15,Run_16,0.8120267830008331
16,Run_17,0.815772345173186
17,Run_18,0.8096034109028465
18,Run_19,0.8101142938734274
19,Run_20,0.8113606874943675
20,Means,0.8112697397459312
