,f_1,f_2,HV
0,25.562489811387362,1175.9,0.381130260026816
1,25.574629445999054,1175.5,0.381130260026816
2,25.56682847308389,1176.1,0.38187469032531485
3,25.555741185876638,1174.4,0.38223772535671613
4,25.582835886759735,1175.6,0.3830976331244501
5,25.578611441357726,1174.7,0.38332280452158557
6,25.56186577508735,1174.8,0.3837242976003866
7,25.54559877892398,1174.1,0.38419618265982936
8,25.54795059626097,1174.8,0.38546021469780406
9,25.556718254359687,1174.7,0.3862802629611025
10,25.57691169522939,1174.6,0.3865919317157634
11,25.541268423867056,1174.9,0.3870849982811825
12,25.542048728824557,1173.5,0.3871896171222667
13,25.52906908528323,1174.8,0.3875975325060684
14,25.55023388382126,1174.3,0.38766033319279514
15,25.50448714287939,1172.3,0.38811327090121445
16,25.518191540725898,1173.1,0.3884664736836531
17,25.527805437733946,1174.5,0.388772781767755
18,25.517225893872293,1172.6,0.3888685928771343
19,25.522970973486245,1170.9,0.38903233131732295
20,25.525941635473504,1173.0,0.3894292389161327
21,25.528969924772998,1171.3,0.38968388658903697
22,25.517604884304085,1171.9,0.3899263504248415
23,25.47974270183836,1173.9,0.3905904736884152
24,25.46276600715409,1174.3,0.39112005395984495
25,25.46266944246873,1174.3,0.39170032064020466
26,25.481692685484663,1172.0,0.392114704776083
27,25.491590046569097,1172.5,0.39239181220075803
28,25.485140979248975,1171.9,0.3925206435686413
29,25.496827382837445,1171.0,0.3926236713696899
30,25.524060700768885,1168.4,0.39262910780261456
31,25.505690048126592,1171.0,0.3929401071122294
32,25.51187901379421,1172.4,0.39294977948813
33,25.521044871428792,1170.3,0.3929694567564711
34,25.507965548212255,1171.3,0.39298811817969936
35,25.509615973667955,1169.8,0.39298815762429684
36,25.505017210318922,1169.3,0.3933043799430279
37,25.506946427366223,1172.5,0.3937062509532877
38,25.532070897168992,1170.4,0.3938341562433808
39,25.52267972193524,1171.6,0.39400484323697715
40,25.412469304370852,1176.0,0.394287111650261
41,25.405116370829155,1174.0,0.39534930371990273
42,25.42539183976492,1175.2,0.39539512833427526
43,25.435167716245193,1175.1,0.39563942604028607
44,25.42880950279571,1172.1,0.39571738501867076
45,25.43544806533172,1173.8,0.39598748343790485
46,25.43660476489614,1174.1,0.39602658037040095
47,25.452707185762417,1174.5,0.3963349513624257
48,25.425171194650524,1174.1,0.39660080979100837
49,25.418419454149948,1174.8,0.39676517053094307
50,25.435591874029814,1174.0,0.396770347770969
51,25.4325537205958,1174.6,0.3971195745723888
52,25.419905823473528,1175.1,0.3974671643521796
53,25.431485798242107,1175.8,0.3974908384065915
54,25.417633438377713,1173.8,0.3977405811265989
55,25.417620459253335,1172.8,0.3978157507809824
56,25.411206695151517,1175.5,0.3978218096654409
57,25.41781358862406,1174.3,0.39784484184959584
58,25.41507914670045,1173.4,0.39785954607301943
59,25.42397763437288,1173.4,0.3983975670430616
60,25.421525618195695,1172.6,0.39844913574405233
61,25.423133991288417,1172.8,0.3987150549687205
62,25.44150568226065,1171.6,0.39901034371171706
63,25.431223100764733,1172.0,0.39901331503944576
64,25.423793849971705,1172.8,0.39908765145959524
65,25.423684306161967,1174.5,0.3996242529503267
66,25.413338905704066,1174.6,0.399626795092906
67,25.415410373954533,1174.3,0.3996693203761682
68,25.43306094477642,1174.1,0.3997380149033862
69,25.40588058167244,1173.7,0.3997381131303507
70,25.459346267463413,1173.1,0.39995018837469287
71,25.405822435195233,1173.1,0.3999692780116283
72,25.41194131359122,1173.0,0.40004964249318764
73,25.41875379639388,1172.4,0.400148465012402
74,25.403666343053835,1169.2,0.40034582978978117
75,25.407568906171313,1172.0,0.40035304331414434
76,25.402609842329593,1170.8,0.4004546851809927
77,25.40346698370341,1171.1,0.4006311248726366
78,25.42688391990323,1169.5,0.4008007086621642
79,25.43593400374837,1167.8,0.40104133338602266
80,25.430437084992498,1169.7,0.40108899708198364
81,25.418180119096444,1167.7,0.40134606591244754
82,25.42428861419294,1168.1,0.4016461967782986
83,25.428020372033625,1167.7,0.4018800843993158
84,25.415496555340386,1169.0,0.4020439309731546
85,25.409168453459454,1167.8,0.40214389068679235
86,25.41852640213481,1168.0,0.40296686487301986
87,25.424794280878636,1167.5,0.40326644614549545
88,25.44460821215157,1165.0,0.4033131536287226
89,25.45325023232633,1164.3,0.4036460713843482
90,25.46016395229912,1163.4,0.403646143615117
91,25.46387442437583,1162.7,0.40369300818862913
92,25.442644730215925,1162.6,0.4037410086714278
93,25.47544661166979,1161.5,0.40397974364691996
94,25.462424915765485,1161.4,0.4046986085842857
95,25.460662869840146,1161.6,0.40488926404611575
96,25.47662563532814,1162.6,0.40503208485841113
97,25.476071686299754,1161.8,0.40503208791440615
98,25.470751802800375,1159.6,0.40503238190719476
99,25.480562463333975,1160.3,0.4052157580699352
100,25.469307485839774,1161.5,0.40521591785192446
101,25.47971155193986,1162.2,0.40530200119296433
102,25.46116853652585,1160.6,0.4053779128672151
103,25.468908767138934,1159.8,0.40575948241709947
104,25.483249661244855,1160.0,0.40585917506510966
105,25.484728762258783,1160.5,0.4060576214926856
106,25.482923625640517,1157.6,0.4060578593948114
107,25.500378990431788,1157.6,0.40652378677180157
108,25.469457524517566,1158.8,0.40655556908923957
109,25.433202676814616,1160.6,0.4066556675065966
110,25.45065284995613,1159.3,0.40684456082302967
111,25.447409626356965,1160.3,0.40684518595614855
112,25.454840953809896,1160.3,0.40712140371187433
113,25.44906783928729,1158.4,0.4073712505785715
114,25.458963123711822,1157.9,0.40737133161303446
115,25.45016483487958,1157.5,0.4075689263995722
