,Run_nr,HV
0,Run_1,0.7205023002361765
1,Run_2,0.7214369463262116
2,Run_3,0.7244252597675258
3,Run_4,0.7225759288516376
4,Run_5,0.718974936084357
5,Run_6,0.7246001492769534
6,Run_7,0.7120898508485405
7,Run_8,0.7031905232811899
8,Run_9,0.7233945995906458
9,Run_10,0.7302785146658841
10,Run_11,0.7306979144316854
11,Run_12,0.7224697792958357
12,Run_13,0.6527142049757441
13,Run_14,0.7140845025090476
14,Run_15,0.7009824480380675
15,Run_16,0.7161895985446592
16,Run_17,0.7185234546275594
17,Run_18,0.7136879500650802
18,Run_19,0.7240303673778278
19,Run_20,0.7154095304131892
20,Means,0.715512937960391
