,Run_nr,HV
0,Run_1,0.7959240865203635
1,Run_2,0.7918082662498804
2,Run_3,0.8022206622111823
3,Run_4,0.7952332551899594
4,Run_5,0.7976502891296722
5,Run_6,0.7925731222938324
6,Run_7,0.786838919177349
7,Run_8,0.7981839381961899
8,Run_9,0.7956325845442795
9,Run_10,0.7843821175461381
10,Run_11,0.7970010226137365
11,Run_12,0.7933667678416441
12,Run_13,0.7941488793120848
13,Run_14,0.7999853331413154
14,Run_15,0.7999383541131513
15,Run_16,0.7959402834718824
16,Run_17,0.802641907327831
17,Run_18,0.7962830085292473
18,Run_19,0.7881631348225208
19,Run_20,0.7918787550986005
20,Means,0.794989734366543
