,Unnamed: 0,Generation,Intertwine_two,Add_vertex,Delete_vertex,Invert_path_vertices,Insert_inside_vertex,Delete_inside_vertex,Replace_inside_vertex,Donate_between_routes,Trim_one_terminal_cb,Grow_one_terminal_cb
0,0.0,0.0,0.09999999999999999,0.09999999999999999,0.09999999999999999,0.09999999999999999,0.09999999999999999,0.09999999999999999,0.09999999999999999,0.09999999999999999,0.09999999999999999,0.09999999999999999
1,1.0,1.0,0.10369930823427771,0.09843045770034678,0.08177068588684053,0.1047657488410884,0.09240915533309131,0.09937492419579955,0.10475481612492173,0.10684290521159237,0.10910222264118818,0.09884977583085292
2,2.0,2.0,0.10777897253355517,0.09334054869583815,0.0774845504342441,0.11718959302884728,0.09254481509212767,0.10435932249944979,0.10281113827193171,0.08607921158318492,0.10878355930447314,0.10962828855634763
3,3.0,3.0,0.10993140919718805,0.0854300984935252,0.0757052956019465,0.11125993103013779,0.0956354949777692,0.1025683135002405,0.10857322071876312,0.09475352035241319,0.11239659699341013,0.10374611913460581
4,4.0,4.0,0.08944798710114342,0.10353661157091958,0.08215703408085928,0.09567113231069796,0.11044146384302163,0.10783581488459212,0.10486754133376161,0.08844068597060804,0.11094886727907047,0.10665286162532542
5,5.0,5.0,0.08807141052404575,0.09882155954714572,0.08133371989444457,0.11722030561582975,0.09600080412706662,0.10988116436047668,0.10143643250621444,0.09134610858861222,0.11726960237911992,0.09861889245704385
6,6.0,6.0,0.09805520301175988,0.09891092131079304,0.0768919427170112,0.12184559506501794,0.08586264566038616,0.11531272460639538,0.10344490585275934,0.09177363952048284,0.10784375227377892,0.1000586699816148
7,7.0,7.0,0.09960426881917228,0.08739832041778561,0.07676085233070866,0.09645308060277584,0.09217064783519972,0.11461301959090293,0.11432776234123534,0.07973823442507422,0.11356117152347596,0.12537264211366897
8,8.0,8.0,0.0885776315809636,0.1030158236904148,0.07920933263740787,0.10086257481441077,0.08270348881046063,0.13467702871368908,0.11234937922438719,0.07749264554626353,0.11274206940142936,0.10837002558057263
9,9.0,9.0,0.09348728656476608,0.09513008460744972,0.08233497580600976,0.10280748798124481,0.08074932516053504,0.13238833801268235,0.09512544601125891,0.08304964958202059,0.1257555489766683,0.10917185729736392
10,10.0,10.0,0.08988788493321517,0.09804137040166025,0.0812344108181987,0.10713814206019723,0.0980681268893675,0.12652171831627798,0.08385956535140213,0.08240640509102673,0.12062355588091864,0.11221882025773526
11,11.0,11.0,0.09854092431399981,0.09525541688689507,0.07426208265293656,0.10149438097172254,0.07931059576535698,0.13237378309875275,0.10412621375464796,0.07925009734696942,0.119878584630389,0.1155079205783294
12,12.0,12.0,0.11133434339974288,0.08694656040693996,0.08025633683029766,0.10037756310434853,0.07645545516543088,0.14665396743133197,0.09945637800268245,0.07098088844209684,0.11937113427071873,0.10816737294640966
13,13.0,13.0,0.09831634410831311,0.08050101332941434,0.0865216007362899,0.10304969676269198,0.08019567383669675,0.13402645341499933,0.10836998673261682,0.09547531414616786,0.1136878510812932,0.09985606585151625
14,14.0,14.0,0.07961870986202496,0.10185763168974467,0.08461501590197561,0.10269361970809938,0.07074750227269157,0.12702663360311423,0.0989433557092849,0.09484272845873828,0.13663138808092606,0.10302341471339993
15,15.0,15.0,0.08406837418146088,0.10011762482177555,0.07929025393350485,0.10231783680908499,0.08071320704615767,0.11947828795616304,0.10264527391958253,0.08889294296068842,0.13196279958988638,0.11051339878169524
16,16.0,16.0,0.08407505931338301,0.08861082944341567,0.08628646607784154,0.10295195616781257,0.08621210976517543,0.13918838299687689,0.1072424188266385,0.07311867356062263,0.1296787767525899,0.10263532709564346
17,17.0,17.0,0.09051509620555508,0.07939442759107707,0.0791887879820132,0.09083062255141618,0.07959902791912457,0.1366997834604739,0.09781164784530971,0.08414786227504507,0.1489601905806198,0.11285255358936508
18,18.0,18.0,0.09536548401777195,0.08561547172379333,0.08643145877302137,0.11274796261166568,0.06466354318465903,0.13757590303581432,0.10161182585445798,0.08025953505211735,0.12169812937019979,0.11403068637649869
19,19.0,19.0,0.10450415322317241,0.10884606599696249,0.08554487558151283,0.09563887837818337,0.0682026740749567,0.1421965078519968,0.08009521852092402,0.07199209194080627,0.12841849182774628,0.11456104260373837
20,20.0,20.0,0.0752795141549178,0.08849508509648189,0.0786378726927313,0.12464824450518013,0.059727051394673415,0.15160413712183954,0.10164781946976857,0.08369877939408187,0.12911068696027841,0.10715080921004669
21,21.0,21.0,0.07802115948652141,0.08489046302937919,0.0780442266158199,0.1203514499191127,0.06954576117614841,0.12384746370472373,0.1042368216607846,0.09977635635855767,0.11483055941148637,0.1264557386374655
22,22.0,22.0,0.10666934260692706,0.09510343657206041,0.09074306123399106,0.09267828390455454,0.07304902833588253,0.1322427506517026,0.0913417763483513,0.08741579669685748,0.13424227030925284,0.09651425334041977
23,23.0,23.0,0.08501233757156687,0.08673768187809432,0.09116387798091495,0.09614016555881097,0.08630061138191143,0.12724503114131713,0.09904712650502995,0.07468255029450671,0.13560973587362896,0.11806088181421814
24,24.0,24.0,0.09767578347654422,0.08897701898998939,0.10027601277525315,0.09750052870715394,0.06955142432761394,0.1319629560793301,0.09233331250616904,0.07150408565843074,0.13844133447841134,0.11177754300110365
25,25.0,25.0,0.09574995447437731,0.08645533712847629,0.08703766831963819,0.08678304078538202,0.07293857549988828,0.13417290456346315,0.10194717224921553,0.07618047204148154,0.14034527797009005,0.11838959696798723
