,Run_nr,HV,Epochs,Poor_epochs,Total_iterations
0,Run_1,0.8082831753507054,122,39,11083
1,Run_2,0.7785752329693125,95,36,8168
2,Run_3,0.7706164325960811,109,7,9584
3,Run_4,0.7778535987601667,112,16,10099
4,Run_5,0.7939281809772096,109,39,9635
5,Run_6,0.8036105738233398,119,37,10827
6,Run_7,0.7568429104044274,106,39,9731
7,Run_8,0.7709600297944423,108,39,9785
8,Run_9,0.692304303775164,64,36,5512
9,Run_10,0.797006139096796,165,35,15279
