,Run_nr,HV
0,Run_1,0.8481828994317431
1,Run_2,0.8509492973877802
2,Run_3,0.8524614454309181
3,Run_4,0.8490102558557695
4,Run_5,0.8517654408496221
5,Run_6,0.8534762185085958
6,Run_7,0.8511214964498961
7,Run_8,0.8511391168190429
8,Run_9,0.8535883481304386
9,Run_10,0.8441061867518852
10,Run_11,0.8502741168791121
11,Run_12,0.8483823299734492
12,Run_13,0.8545222276952156
13,Run_14,0.8519280288012945
14,Run_15,0.8515628066044348
15,Run_16,0.849598135444574
16,Run_17,0.852217963966345
17,Run_18,0.8532944083360363
18,Run_19,0.849585320630649
19,Run_20,0.8506393390759719
20,Means,0.8508902691511386
