,f_1,f_2,HV
0,23.166696866962827,259.4,0.2671967666691481
1,23.072296586392333,262.3,0.2671967666691481
2,22.854454056581712,262.3,0.278320214640245
3,23.12054302080898,262.0,0.28056668764934645
4,22.99510462941314,262.0,0.28064049254531054
5,23.274348258124853,264.1,0.28334489964723186
6,23.13710544774375,265.3,0.2840623319512341
7,22.903761398176293,263.9,0.2842394846172162
8,23.036643675473464,264.8,0.2850457049492035
9,22.92653729249474,263.8,0.28504748836530397
10,22.675213350479304,266.1,0.286344605020597
11,22.81051847089081,264.4,0.29594480775434395
12,22.744485036240356,266.0,0.29594554894065384
13,22.76279810614917,266.4,0.2966577025766764
14,22.98580488660276,266.2,0.2967197459627582
15,22.56994680851064,265.2,0.29698888086512404
16,22.7148030161328,265.7,0.29699454941740927
17,22.60450958615852,266.8,0.29835781263573613
18,22.703398994622397,265.7,0.29835922317420327
19,22.56128127191957,266.8,0.2983883380893127
20,22.38322129997662,268.4,0.29911578503875025
21,22.323462707505264,269.4,0.30534165257092755
22,22.28827741407529,270.5,0.3069537500554874
23,22.127680032733227,271.6,0.3072728695980361
24,22.064461070844054,271.0,0.3167010917247909
25,22.15680675707272,275.3,0.31731939543646104
26,22.195654079962594,272.7,0.31817493435627603
27,22.21798281505728,274.6,0.318731799053304
28,22.208662613981762,276.9,0.3202898968000611
29,22.053776011222816,276.8,0.3203063252453865
30,21.902998597147533,277.0,0.32043325416245155
31,21.93666997895721,278.4,0.3264934322871884
32,21.937543839139586,279.0,0.3267350864379597
33,21.994523030161325,280.4,0.32761218854894353
34,22.044926350245497,280.8,0.3284418435675323
35,22.086588145896656,280.2,0.32844387649943513
36,22.16466565349544,281.3,0.3284451169711805
37,21.80792319382745,281.2,0.32919657201128605
38,22.24489712415244,281.8,0.3323496516769553
39,21.903992284311435,282.0,0.33235401807657966
40,22.213864858545712,281.5,0.333643418017829
41,21.947717442132337,282.8,0.3338344367059178
42,21.604065349544076,281.9,0.3345287886712941
43,21.601274257657234,285.3,0.34375326198125633
44,21.66318681318681,284.5,0.3444727609766748
45,21.67644376899696,284.5,0.3445400454637591
46,21.814510755202242,286.9,0.3449026086773057
47,21.740045592705165,285.7,0.3462451580227488
48,21.591258475566985,286.9,0.3463993171602825
49,21.597431026420388,286.0,0.3463993171602825
50,21.61557458498948,285.4,0.34951984529390756
51,21.57095803133037,284.7,0.34996495584824217
52,21.63656184241291,286.3,0.34997832943834845
53,21.624479775543605,286.1,0.34997832943834845
54,21.57551730184709,288.3,0.35011120383724126
55,21.45710778583119,286.5,0.3525553545349981
56,21.478542202478373,288.9,0.3544955967745846
57,21.371823123684827,288.3,0.3545183352029505
58,21.383139466916063,289.5,0.3573064466070298
59,21.478828618190317,291.4,0.35896492027129934
60,21.389864390928217,291.3,0.3595917110738799
61,21.57771510404489,289.5,0.3599309205728911
62,21.524842179097497,289.3,0.3602372739427444
63,21.52251578209025,290.0,0.3602372739427444
64,21.490928220715453,289.2,0.3612571643271781
65,21.48083645078326,290.3,0.36130926261749885
66,21.510348959551088,290.2,0.36149319663055485
67,21.299339490296937,290.6,0.36210788782045694
68,21.382931961655366,289.4,0.364142578517724
69,21.34119417816226,287.6,0.36417570345383476
70,21.181152092588256,288.0,0.3643243448146545
71,21.340226794482113,288.1,0.37365967929010513
72,21.272843114332478,285.6,0.37451432472505336
73,21.618573182137013,287.3,0.3749466411852905
74,21.261430324994155,285.5,0.3767271001554704
75,21.289691956979187,285.8,0.376743799184565
76,21.349509001636658,285.8,0.37674666747405205
77,21.384188683656767,286.2,0.37674860674234234
78,21.28395487491232,287.1,0.3768587348441106
79,21.388625204582652,286.8,0.3773077541409063
80,21.29060088847323,287.3,0.377319214353477
81,21.027843698854337,286.2,0.37800626157240586
82,20.99760346036942,285.9,0.3948916985163562
83,20.897115384615383,286.4,0.39532811459991224
84,21.041088964227264,288.1,0.39761556074358895
85,20.745788519990647,287.3,0.3986804124541393
86,20.93308101472995,287.2,0.3998301147673188
87,20.83980593874211,288.3,0.40040073506999985
88,20.888084521861117,290.0,0.4005477557203439
89,20.935574000467618,292.0,0.4006495860890742
90,20.90131809679682,292.0,0.4016727798292055
91,21.09505202244564,293.5,0.4016747754479618
92,21.152525134440026,292.2,0.40215955546122517
93,21.02615443067571,292.7,0.40253636188963754
94,21.10410334346505,294.6,0.4050122439917102
95,21.02621288286182,295.0,0.4059729879624439
96,20.941506897357964,293.9,0.4059806249735762
97,21.183753214870237,292.2,0.4066871862065917
98,21.03634264671499,293.4,0.4071991114069628
