,Run_nr,HV,Epochs,Poor_epochs,Total_iterations
0,Run_1,0.7392651016913709,428,186,21191
1,Run_2,0.7613521034400426,596,148,29801
2,Run_3,0.7106177329982117,376,152,18801
3,Run_4,0.7616839949933982,567,191,28351
4,Run_5,0.7045845957360709,349,172,17451
5,Run_6,0.7099031989357459,544,178,27201
6,Run_7,0.7346171248802273,446,198,22301
7,Run_8,0.6746123971268938,376,160,18801
8,Run_9,0.7154742852212445,425,199,21251
9,Run_10,0.7588675733182513,341,118,17051
10,Run_11,0.7101191278296208,346,198,17301
11,Run_12,0.7384225835366722,426,196,21301
12,Run_13,0.7506925624573335,342,179,17101
13,Run_14,0.749629150475807,520,81,26001
14,Run_15,0.779271340957115,728,174,36401
15,Run_16,0.7779616419027182,941,86,47051
16,Run_17,0.7083401816917722,274,173,13701
17,Run_18,0.6856398914229067,729,190,36451
18,Run_19,0.793870705998033,1842,18,92101
19,Run_20,0.6878190527850147,544,195,27201
20,Run_21,0.7446207439000672,408,167,20401
21,Run_22,0.7251031685653828,682,183,34101
22,Run_23,0.7646234434427531,416,182,20801
23,Run_24,0.755690384283374,769,53,38230
24,Run_25,0.7189177505145762,491,198,24551
25,Run_26,0.7582939103442357,617,0,30851
26,Run_27,0.7760969059878065,870,193,43501
27,Run_28,0.7589919682411616,720,54,36001
28,Run_29,0.774395487430313,383,196,19151
29,Run_30,0.7307461727677266,470,122,23501
