,Unnamed: 0,Generation,HV,APD,mean_f_1,mean_f_2
0,0.0,0.0,0.6245035260761439,0.0,11.573849129593807,152.75
1,1.0,1.0,0.636230562530285,0.0,11.635056898774986,148.5225
2,2.0,2.0,0.6536006022962545,0.0,11.648404094132818,145.53499999999997
3,3.0,3.0,0.6652789825037742,0.0,11.689735815602841,143.4315
4,4.0,4.0,0.6787077461545545,0.0,11.693797711154097,141.28575
5,5.0,5.0,0.6886528827324387,0.0,11.7098583172147,138.25799999999998
6,6.0,6.0,0.6995247305885604,0.0,11.711503707285626,135.10600000000002
7,7.0,7.0,0.7099027275530514,0.0,11.631434397163122,133.21550000000002
8,8.0,8.0,0.7180841853182279,0.0,11.614817537072858,131.38275
9,9.0,9.0,0.7270960430257377,0.0,11.599637814313349,129.5945
10,10.0,10.0,0.7325773794506449,0.0,11.609459058671822,128.195
11,11.0,11.0,0.7399219497739387,0.0,11.604764829142486,125.90025
12,12.0,12.0,0.746417138211773,0.0,11.59725096711799,125.07950000000001
13,13.0,13.0,0.7504738277448733,0.0,11.594266763378466,123.68375
14,14.0,14.0,0.7544515459871614,0.0,11.57921437782076,123.43825
15,15.0,15.0,0.7606730580551117,0.0,11.592146840747903,122.11225000000002
16,16.0,16.0,0.7639345082915852,0.0,11.58883510638298,121.52625
17,17.0,17.0,0.7669835129409598,0.0,11.576534010315926,121.20899999999997
18,18.0,18.0,0.7715139901726396,0.0,11.558069471308833,121.34624999999998
19,19.0,19.0,0.7751317322825185,0.0,11.58114974210187,119.4155
20,20.0,20.0,0.778412845249108,0.0,11.560188749194065,119.36600000000001
21,21.0,21.0,0.7823018609512595,0.0,11.555907317859443,117.79724999999999
22,22.0,22.0,0.7856297479886748,0.0,11.559736782720826,117.49075
23,23.0,23.0,0.7894880882299938,0.0,11.522452450032237,117.668
24,24.0,24.0,0.79237750839971,0.0,11.521378949065117,116.3845
25,25.0,25.0,0.7944452987653727,0.0,11.495038523533202,116.391
26,26.0,26.0,0.7972108957955396,0.0,11.479828820116056,116.44324999999999
27,27.0,27.0,0.7996174377580483,0.0,11.48306914893617,116.18374999999999
28,28.0,28.0,0.8013143994457594,0.0,11.482859445519015,115.87800000000001
29,29.0,29.0,0.8030181690033679,0.0,11.475462765957447,115.68149999999999
30,30.0,30.0,0.8045283147318301,0.0,11.4786442617666,114.93949999999998
31,31.0,31.0,0.807155671956782,0.0,11.46489651837524,114.24025000000002
32,32.0,32.0,0.8085238135284388,0.0,11.478133301096067,113.68500000000002
33,33.0,33.0,0.8100126145824573,0.0,11.441158123791102,114.04950000000001
34,34.0,34.0,0.8112548105610087,0.0,11.433487749838811,114.06649999999999
35,35.0,35.0,0.8123035829418809,0.0,11.428072372662795,113.91900000000001
36,36.0,36.0,0.8135706476687051,0.0,11.422122823984527,113.7
37,37.0,37.0,0.8146710397219186,0.0,11.447017569310125,112.42800000000003
38,38.0,38.0,0.8157428387215621,0.0,11.454404577691815,111.85649999999998
39,39.0,39.0,0.816799259944496,0.0,11.461837685364282,111.39574999999998
40,40.0,40.0,0.8180001281481394,0.0,11.45640635074146,111.23525
41,41.0,41.0,0.8189223942877968,0.0,11.473320438426825,110.3925
42,42.0,42.0,0.8202016731341433,0.0,11.439988072211479,110.10674999999999
43,43.0,43.0,0.8209003207708111,0.0,11.445508220502903,109.59025
44,44.0,44.0,0.822011244999219,0.0,11.457616860090265,108.79524999999997
45,45.0,45.0,0.822793589389334,0.0,11.46579013539652,108.65725000000002
46,46.0,46.0,0.8236109342399814,0.0,11.478274177949714,108.15324999999999
47,47.0,47.0,0.8244664832546423,0.0,11.487410541586078,107.78075000000001
48,48.0,48.0,0.8256216185910912,0.0,11.520268214055454,106.181
49,49.0,49.0,0.8264317951551995,0.0,11.513894261766605,106.22550000000001
50,50.0,50.0,0.8272086131568095,0.0,11.54668745970342,105.01925000000001
51,51.0,51.0,0.8277044263168223,0.0,11.566681173436496,104.31524999999996
52,52.0,52.0,0.8283235820608624,0.0,11.55380754352031,104.15025
53,53.0,53.0,0.8288231195261723,0.0,11.581322372662802,102.66399999999999
54,54.0,54.0,0.8294945356832498,0.0,11.588084784010316,102.446
55,55.0,55.0,0.8297484692304303,0.0,11.58491876208898,102.61875
56,56.0,56.0,0.830251250445515,0.0,11.601778691166993,102.155
57,57.0,57.0,0.8310608663615138,0.0,11.616449709864604,101.57949999999998
58,58.0,58.0,0.8314330566134449,0.0,11.63565312701483,101.06324999999998
59,59.0,59.0,0.8320452843487072,0.0,11.628161186331402,100.516
60,60.0,60.0,0.83243913964543,0.0,11.620288039974213,100.45750000000001
61,61.0,61.0,0.8326141819943856,0.0,11.621209219858162,100.62475
62,62.0,62.0,0.832835157442003,0.0,11.597578981302389,101.37825000000001
63,63.0,63.0,0.833225448618603,0.0,11.617283365570598,100.227
64,64.0,64.0,0.8335326837824525,0.0,11.644937782076083,99.066
65,65.0,65.0,0.8337567828409641,0.0,11.65098259187621,99.26125000000002
66,66.0,66.0,0.8340374272659193,0.0,11.657738716956805,99.35275000000001
67,67.0,67.0,0.8343510698367311,0.0,11.653975983236624,99.57749999999999
68,68.0,68.0,0.8347809267513245,0.0,11.650430206318505,99.268
69,69.0,69.0,0.835025209141768,0.0,11.67128207607995,98.69475000000001
70,70.0,70.0,0.8351806688531944,0.0,11.655665215989682,98.78025
71,71.0,71.0,0.8353827824965661,0.0,11.64673275306254,98.78525
72,72.0,72.0,0.8356089639623404,0.0,11.654344938749194,98.30900000000001
73,73.0,73.0,0.835870986860811,0.0,11.636869922630563,98.5755
