,Run_nr,HV,Epochs,Poor_epochs,Total_iterations
0,Run_1,0.7014686983867777,131,21,9232
1,Run_2,0.6569667647851365,61,45,4933
2,Run_3,0.7092701255523204,197,2,15911
3,Run_4,0.6958501315006531,117,59,6797
4,Run_5,0.680429078816907,151,39,11447
5,Run_6,0.7169499218914246,182,29,14065
6,Run_7,0.656679649503099,96,80,4875
7,Run_8,0.6844652185136566,113,72,5796
8,Run_9,0.6831020257731821,59,48,4704
9,Run_10,0.7018347386856667,105,46,6899
