,Run_nr,HV
0,Run_1,0.7791848734514739
1,Run_2,0.7833510842377938
2,Run_3,0.7760009274372914
3,Run_4,0.7803225512859298
4,Run_5,0.7765816418344886
5,Run_6,0.7896725632809641
6,Run_7,0.7867952399512498
7,Run_8,0.7718920342128353
8,Run_9,0.7812312127038602
9,Run_10,0.7827044651784375
10,Run_11,0.7661663725070809
11,Run_12,0.7733881213177001
12,Run_13,0.7753138324981483
13,Run_14,0.7730152259162273
14,Run_15,0.7786352431897263
15,Run_16,0.7786914616636714
16,Run_17,0.7799088525627724
17,Run_18,0.7748267791750935
18,Run_19,0.7743508182635943
19,Run_20,0.7685316198608527
20,Means,0.7775282460264595
