,Run_nr,HV
0,Run_1,0.8529780426172657
1,Run_2,0.848274204980958
2,Run_3,0.8542234823455914
3,Run_4,0.852869116698904
4,Run_5,0.8523845565473688
5,Run_6,0.8505336168610913
6,Run_7,0.8497967650604099
7,Run_8,0.8536315981274353
8,Run_9,0.8491127743671686
9,Run_10,0.8540761119854552
10,Run_11,0.852362130623
11,Run_12,0.8505944872272349
12,Run_13,0.8537229036766503
13,Run_14,0.8455078070249207
14,Run_15,0.8491984734352913
15,Run_16,0.8452170709339999
16,Run_17,0.8448991033634882
17,Run_18,0.8517774547376766
18,Run_19,0.8505880798202723
19,Run_20,0.8511094825618415
20,Means,0.8506428631498014
